file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\extension\csw\api\src\main\java\org\geoserver\csw\store\AbstractCatalogStore.java,org.geoserver.csw.store.AbstractCatalogStore,class,21,27,6,21,20,1,2,32,46,0.7083333,0.0,0.0,12,0,11,0,1,0,12,1,0,0,2,0,0,0,2,0,0,0,4,91,8,0,7,0,0,7,0,16,3,12,1,1,0,0,70,1025,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous7,anonymous,6,6,0,6,2,1,0,8,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,27,2,0,1,1,0,1,2,7,0,7,1,1,0,0,21,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\community\wms-eo\src\main\java\org\geoserver\wms\eo\web\EoStyleListPanel.java,org.geoserver.wms.eo.web.EoStyleListPanel$Anonymous1,anonymous,2,2,0,2,5,1,0,5,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,2,1,3,0,0,0,1,4,0,4,3,0,0,0,19,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous9,anonymous,3,3,0,3,1,1,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\xml\v1_0_0\GetCapabilitiesBinding.java,org.geoserver.wfs.xml.v1_0_0.GetCapabilitiesBinding,class,2,2,0,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\CapabilitiesTransformer.java,org.geoserver.wfs.CapabilitiesTransformer$Anonymous2,anonymous,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous1,anonymous,6,6,0,6,1,1,0,8,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,22,1,0,0,1,0,0,2,5,0,5,1,1,0,0,14,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\main\src\main\java\org\geoserver\feature\RetypingFeatureCollection.java,org.geoserver.feature.RetypingFeatureCollection,class,16,23,7,16,11,2,0,20,0,0.0,0.0,0.0,7,2,5,0,1,1,7,0,0,0,1,0,0,0,0,1,0,0,1,137,8,1,1,0,0,2,1,12,2,11,2,0,3,0,60,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,17,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\main\src\main\java\org\geoserver\security\password\GeoServerPlainTextPasswordEncoder.java,org.geoserver.security.password.GeoServerPlainTextPasswordEncoder,class,8,14,6,8,5,2,0,3,10,0.0,0.0,0.0,5,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\wfs\src\main\java\org\geoserver\wfs\CapabilitiesTransformer.java,org.geoserver.wfs.CapabilitiesTransformer$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,0,2,0,2,0,0,0,0,8,-1,0
C:\Geo\geoserver-2.12.1\geoserver-2.12.1\src\web\demo\src\main\java\org\geoserver\web\catalogstresstool\CatalogStressTester.java,org.geoserver.web.catalogstresstool.CatalogStressTester$Anonymous4,anonymous,6,6,0,6,2,1,0,9,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,27,2,0,1,1,0,1,2,7,0,7,1,1,0,0,18,-1,0
