file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\services\repository\FirebaseSignUpInstance.java,com.example.nsabbani.services.repository.FirebaseSignUpInstance,"signInUser/3[java.lang.String,java.lang.String,java.lang.String]",false,19,3,1,1,0,1,2,12,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,1,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\view\ui\ForgetPasswordActivity.java,com.example.nsabbani.view.ui.ForgetPasswordActivity,onCreate/1[com.example.nsabbani.view.ui.Bundle],false,30,2,2,0,2,1,4,6,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\view\ui\ForgetPasswordActivity.java,com.example.nsabbani.view.ui.ForgetPasswordActivity,dismissKeyboard/0,false,81,1,0,0,0,2,5,5,0,1,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,12,1,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\view\ui\ForgetPasswordActivity.java,com.example.nsabbani.view.ui.ForgetPasswordActivity,init/0,false,87,2,1,1,0,1,4,6,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,2,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\view\ui\ForgetPasswordActivity.java,com.example.nsabbani.view.ui.ForgetPasswordActivity,resetPassword/1[java.lang.String],false,61,4,1,0,1,2,13,19,0,3,1,13,0,0,0,0,0,0,2,0,2,0,2,0,0,1,12,2,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\view\ui\ForgetPasswordActivity.java,com.example.nsabbani.view.ui.ForgetPasswordActivity,listeners/0,false,38,2,1,1,0,2,15,20,0,4,0,15,0,0,0,0,0,0,2,2,2,0,2,0,0,2,18,2,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\services\model\Chats.java,com.example.nsabbani.services.model.Chats,setTimestamp/1[java.lang.String],false,60,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\services\model\Chats.java,com.example.nsabbani.services.model.Chats,setSeen/1[boolean],false,27,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\services\model\Chats.java,com.example.nsabbani.services.model.Chats,Chats/0,true,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\ChatApplication\Ns_Abbani_Chat_App\app\src\main\java\com\example\nsabbani\services\model\Chats.java,com.example.nsabbani.services.model.Chats,getSeen/0,false,23,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
